data_center_site,equipment_category,month,planned_units
ATL-01,GPU Servers,2026-07-01,6
ATL-01,GPU Servers,2026-08-01,12
ATL-01,GPU Servers,2026-09-01,18
ATL-01,GPU Servers,2026-10-01,24
ATL-01,GPU Servers,2026-11-01,30
ATL-01,GPU Servers,2026-12-01,36
ATL-01,GPU Servers,2027-01-01,43
ATL-01,NVIDIA GPU Systems,2026-07-01,1
ATL-01,NVIDIA GPU Systems,2026-08-01,3
ATL-01,NVIDIA GPU Systems,2026-09-01,4
ATL-01,NVIDIA GPU Systems,2026-10-01,6
ATL-01,NVIDIA GPU Systems,2026-11-01,7
ATL-01,NVIDIA GPU Systems,2026-12-01,9
ATL-01,NVIDIA GPU Systems,2027-01-01,10
ATL-01,InfiniBand Switches,2026-07-01,3
ATL-01,InfiniBand Switches,2026-08-01,7
ATL-01,InfiniBand Switches,2026-09-01,11
ATL-01,InfiniBand Switches,2026-10-01,15
ATL-01,InfiniBand Switches,2026-11-01,19
ATL-01,InfiniBand Switches,2026-12-01,23
ATL-01,InfiniBand Switches,2027-01-01,27
ATL-01,Network Equipment,2026-07-01,4
ATL-01,Network Equipment,2026-08-01,9
ATL-01,Network Equipment,2026-09-01,13
ATL-01,Network Equipment,2026-10-01,18
ATL-01,Network Equipment,2026-11-01,23
ATL-01,Network Equipment,2026-12-01,27
ATL-01,Network Equipment,2027-01-01,32
ATL-01,Transformers,2026-07-01,0
ATL-01,Transformers,2026-08-01,0
ATL-01,Transformers,2026-09-01,0
ATL-01,Transformers,2026-10-01,0
ATL-01,Transformers,2026-11-01,0
ATL-01,Transformers,2026-12-01,0
ATL-01,Transformers,2027-01-01,0
ATL-01,Chillers,2026-07-01,0
ATL-01,Chillers,2026-08-01,0
ATL-01,Chillers,2026-09-01,0
ATL-01,Chillers,2026-10-01,0
ATL-01,Chillers,2026-11-01,0
ATL-01,Chillers,2026-12-01,0
ATL-01,Chillers,2027-01-01,0
ATL-01,Cooling Systems,2026-07-01,1
ATL-01,Cooling Systems,2026-08-01,3
ATL-01,Cooling Systems,2026-09-01,4
ATL-01,Cooling Systems,2026-10-01,6
ATL-01,Cooling Systems,2026-11-01,7
ATL-01,Cooling Systems,2026-12-01,9
ATL-01,Cooling Systems,2027-01-01,10
ATL-01,UPS Systems,2026-07-01,0
ATL-01,UPS Systems,2026-08-01,0
ATL-01,UPS Systems,2026-09-01,0
ATL-01,UPS Systems,2026-10-01,0
ATL-01,UPS Systems,2026-11-01,1
ATL-01,UPS Systems,2026-12-01,1
ATL-01,UPS Systems,2027-01-01,1
ATL-01,Power Distribution Units,2026-07-01,11
ATL-01,Power Distribution Units,2026-08-01,23
ATL-01,Power Distribution Units,2026-09-01,34
ATL-01,Power Distribution Units,2026-10-01,46
ATL-01,Power Distribution Units,2026-11-01,57
ATL-01,Power Distribution Units,2026-12-01,69
ATL-01,Power Distribution Units,2027-01-01,81
ATL-01,Storage Systems,2026-07-01,0
ATL-01,Storage Systems,2026-08-01,1
ATL-01,Storage Systems,2026-09-01,1
ATL-01,Storage Systems,2026-10-01,2
ATL-01,Storage Systems,2026-11-01,3
ATL-01,Storage Systems,2026-12-01,3
ATL-01,Storage Systems,2027-01-01,4
ATL-01,Racks,2026-07-01,12
ATL-01,Racks,2026-08-01,25
ATL-01,Racks,2026-09-01,37
ATL-01,Racks,2026-10-01,50
ATL-01,Racks,2026-11-01,62
ATL-01,Racks,2026-12-01,75
ATL-01,Racks,2027-01-01,87
ATL-01,Backup Generators,2026-07-01,0
ATL-01,Backup Generators,2026-08-01,0
ATL-01,Backup Generators,2026-09-01,0
ATL-01,Backup Generators,2026-10-01,0
ATL-01,Backup Generators,2026-11-01,0
ATL-01,Backup Generators,2026-12-01,0
ATL-01,Backup Generators,2027-01-01,0
CBUS-02,GPU Servers,2026-07-01,5
CBUS-02,GPU Servers,2026-08-01,10
CBUS-02,GPU Servers,2026-09-01,15
CBUS-02,GPU Servers,2026-10-01,20
CBUS-02,GPU Servers,2026-11-01,26
CBUS-02,GPU Servers,2026-12-01,31
CBUS-02,GPU Servers,2027-01-01,36
CBUS-02,GPU Servers,2027-02-01,41
CBUS-02,GPU Servers,2027-03-01,47
CBUS-02,GPU Servers,2027-04-01,52
CBUS-02,NVIDIA GPU Systems,2026-07-01,1
CBUS-02,NVIDIA GPU Systems,2026-08-01,2
CBUS-02,NVIDIA GPU Systems,2026-09-01,3
CBUS-02,NVIDIA GPU Systems,2026-10-01,5
CBUS-02,NVIDIA GPU Systems,2026-11-01,6
CBUS-02,NVIDIA GPU Systems,2026-12-01,7
CBUS-02,NVIDIA GPU Systems,2027-01-01,9
CBUS-02,NVIDIA GPU Systems,2027-02-01,10
CBUS-02,NVIDIA GPU Systems,2027-03-01,11
CBUS-02,NVIDIA GPU Systems,2027-04-01,13
CBUS-02,InfiniBand Switches,2026-07-01,3
CBUS-02,InfiniBand Switches,2026-08-01,6
CBUS-02,InfiniBand Switches,2026-09-01,9
CBUS-02,InfiniBand Switches,2026-10-01,13
CBUS-02,InfiniBand Switches,2026-11-01,16
CBUS-02,InfiniBand Switches,2026-12-01,19
CBUS-02,InfiniBand Switches,2027-01-01,22
CBUS-02,InfiniBand Switches,2027-02-01,26
CBUS-02,InfiniBand Switches,2027-03-01,29
CBUS-02,InfiniBand Switches,2027-04-01,32
CBUS-02,Network Equipment,2026-07-01,3
CBUS-02,Network Equipment,2026-08-01,7
CBUS-02,Network Equipment,2026-09-01,11
CBUS-02,Network Equipment,2026-10-01,15
CBUS-02,Network Equipment,2026-11-01,19
CBUS-02,Network Equipment,2026-12-01,23
CBUS-02,Network Equipment,2027-01-01,27
CBUS-02,Network Equipment,2027-02-01,31
CBUS-02,Network Equipment,2027-03-01,35
CBUS-02,Network Equipment,2027-04-01,39
CBUS-02,Transformers,2026-07-01,0
CBUS-02,Transformers,2026-08-01,0
CBUS-02,Transformers,2026-09-01,0
CBUS-02,Transformers,2026-10-01,0
CBUS-02,Transformers,2026-11-01,0
CBUS-02,Transformers,2026-12-01,0
CBUS-02,Transformers,2027-01-01,0
CBUS-02,Transformers,2027-02-01,0
CBUS-02,Transformers,2027-03-01,0
CBUS-02,Transformers,2027-04-01,0
CBUS-02,Chillers,2026-07-01,0
CBUS-02,Chillers,2026-08-01,0
CBUS-02,Chillers,2026-09-01,0
CBUS-02,Chillers,2026-10-01,0
CBUS-02,Chillers,2026-11-01,0
CBUS-02,Chillers,2026-12-01,0
CBUS-02,Chillers,2027-01-01,0
CBUS-02,Chillers,2027-02-01,0
CBUS-02,Chillers,2027-03-01,0
CBUS-02,Chillers,2027-04-01,0
CBUS-02,Cooling Systems,2026-07-01,1
CBUS-02,Cooling Systems,2026-08-01,2
CBUS-02,Cooling Systems,2026-09-01,3
CBUS-02,Cooling Systems,2026-10-01,5
CBUS-02,Cooling Systems,2026-11-01,6
CBUS-02,Cooling Systems,2026-12-01,7
CBUS-02,Cooling Systems,2027-01-01,9
