purchase_order_id,purchase_order_date,supplier_id,supplier_name,equipment_category,equipment_type,manufacturer,part_number,order_quantity,unit_cost,total_order_value,currency,procurement_status,buyer,contract_type,production_start_date,supplier_committed_date,original_eta,current_eta,actual_delivery_date,required_on_site_date,shipment_status,shipping_mode,origin_country,destination_country,destination_site,freight_forwarder,customs_status,incoterm,warehouse_receipt_status,tracking_update_date,planned_lead_time_days,current_expected_lead_time_days,actual_lead_time_days,delay_days,supplier_capacity_utilization,supplier_on_time_delivery_rate,historical_supplier_delay_rate,equipment_criticality,alternative_supplier_available,inventory_buffer_days,deployment_dependency,data_center_site,planned_compute_capacity_mw,planned_gpu_capacity,project_phase,required_capacity_date,installation_start_date,_true_arrival,lead_time_variance,supply_concentration,missed_required_date
PO-1000,2025-12-04,SUP-006,Arista,Network Equipment,Top-of-rack switch,Juniper,JUN-NE-2491,64,60229.7,3854700.8,USD,Delivered,A. Whitfield,Capacity Reservation,2025-12-23,2026-03-11,2026-03-11,2026-04-04,2026-04-04,2026-03-23,Delivered,Ocean,United States,Ireland,DUB-06,Expeditors,Not required,DAP,Received,2026-07-14,97,121.0,121.0,24.0,0.873,0.55,0.493,high,False,14,Medium,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2026-04-04,14.1,0.19,1
PO-1001,2025-12-30,SUP-004,NVIDIA,NVIDIA GPU Systems,GB200 NVL72 rack system,NVIDIA,NVI-NGS-7164,7,301409.09,2109863.63,USD,In Production,A. Whitfield,Master Supply Agreement,2026-01-13,2026-05-11,2026-05-11,2026-09-24,,2026-06-02,Not Shipped,Air,Taiwan,United States,ATL-01,Kuehne+Nagel,Pending,DDP,Pending,2026-07-15,132,268.0,,136.0,0.907,0.591,0.416,critical,False,16,High,ATL-01,120,80000,Phase 2 expansion,2027-02-12,2026-10-14,2026-09-26,23.2,1.0,1
PO-1002,2025-05-09,SUP-004,NVIDIA,NVIDIA GPU Systems,HGX B200 baseboard,NVIDIA,NVI-NGS-5132,6,460536.11,2763216.66,USD,Delivered,S. Park,Spot PO,2025-05-16,2025-10-23,2025-10-23,2026-01-31,2026-01-31,2025-11-26,Delivered,Air,Taiwan,United States,SLC-08,Expeditors,Cleared,DDP,Received,2026-07-13,167,267.0,267.0,100.0,0.907,0.591,0.416,critical,False,13,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-01-31,23.2,1.0,1
PO-1003,2025-09-08,SUP-011,Hyundai Electric,Transformers,138kV power transformer,Siemens Energy,SIE-T-3736,1,946290.09,946290.09,EUR,In Production,S. Park,Spot PO,2025-09-17,2026-10-19,2026-10-19,2027-01-18,,2026-10-20,Not Shipped,Ocean,Germany,United States,CBUS-02,DHL Industrial Projects,Pending,DAP,Pending,2026-07-13,406,497.0,,91.0,0.91,0.55,0.49,critical,False,8,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2027-02-18,51.2,0.319,1
PO-1004,2025-09-24,SUP-002,Dell,GPU Servers,4U 8-GPU air-cooled server,Supermicro,SUP-GS-2677,27,180928.44,4885067.88,USD,Delivered,J. Marsh,Capacity Reservation,2025-10-05,2025-12-15,2025-12-15,2026-01-27,2026-01-27,2026-01-20,Delivered,Air,Taiwan,United States,PHX-04,DHL Industrial Projects,Cleared,EXW,Received,2026-07-12,82,125.0,125.0,43.0,0.919,0.55,0.453,critical,True,10,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-01-27,22.4,0.259,1
PO-1005,2026-06-14,SUP-002,Dell,Storage Systems,Object storage cluster node,Pure Storage,PUR-SS-9466,6,302877.72,1817266.32,USD,In Production,K. Osei,Capacity Reservation,2026-06-21,2026-09-05,2026-09-05,2026-09-05,,2026-10-11,Not Shipped,Truck,United States,United States,DFW-03,Kuehne+Nagel,Not required,DDP,Pending,2026-07-15,83,83.0,,0.0,0.919,0.55,0.453,high,True,30,Medium,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-09-03,22.4,0.149,0
PO-1006,2025-12-30,SUP-D03,Graybar,Power Distribution Units,Floor PDU 400kVA,Raritan,RAR-PDU-4457,164,4317.17,708015.88,USD,Delivered,K. Osei,Spot PO,2026-01-14,2026-03-30,2026-03-30,2026-04-29,2026-04-29,2026-10-30,Delivered,Truck,Taiwan,United States,ATL-01,DB Schenker,Cleared,DAP,Received,2026-07-15,90,120.0,120.0,30.0,0.78,0.649,0.386,medium,True,25,Low,ATL-01,120,80000,Phase 2 expansion,2027-02-12,2026-10-14,2026-04-29,35.9,0.157,0
PO-1007,2025-06-24,SUP-005,NVIDIA Networking,InfiniBand Switches,Quantum-X800 switch,NVIDIA Networking,NVI-IS-2889,35,57017.25,1995603.75,USD,Delivered,M. Delgado,Spot PO,2025-07-06,2025-10-27,2025-10-27,2025-12-17,2025-12-17,2025-11-14,Delivered,Air,Israel,United States,ATL-01,Flexport,Cleared,EXW,Received,2026-07-13,125,176.0,176.0,51.0,0.929,0.593,0.436,critical,False,7,High,ATL-01,120,80000,Phase 2 expansion,2027-02-12,2026-10-14,2025-12-17,22.1,1.0,1
PO-1008,2026-01-23,SUP-017,Boyd,Cooling Systems,Rear-door heat exchanger,Boyd,BOY-CS-2389,14,208065.59,2912918.26,USD,In Production,M. Delgado,Spot PO,2026-01-28,2026-06-20,2026-06-20,2026-10-12,,2026-07-20,Not Shipped,Truck,United States,United States,SLC-08,DHL Industrial Projects,Not required,DDP,Pending,2026-07-15,148,262.0,,114.0,0.924,0.55,0.492,high,False,30,Medium,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-10-15,29.5,0.33,1
PO-1009,2025-11-17,SUP-002,Dell,GPU Servers,4U 8-GPU air-cooled server,Foxconn Industrial,FOX-GS-6957,61,263854.59,16095129.99,USD,Delivered,A. Whitfield,Capacity Reservation,2025-11-24,2026-03-16,2026-03-16,2026-05-27,2026-05-27,2026-09-03,Delivered,Air,Taiwan,United States,ATL-01,DB Schenker,Cleared,DDP,Received,2026-07-13,119,191.0,191.0,72.0,0.919,0.55,0.453,critical,True,12,High,ATL-01,120,80000,Phase 2 expansion,2027-02-12,2026-10-14,2026-05-27,22.4,0.259,0
PO-1010,2026-04-22,SUP-004,NVIDIA,NVIDIA GPU Systems,HGX B200 baseboard,NVIDIA,NVI-NGS-5132,12,476106.72,5713280.64,USD,In Production,J. Marsh,Framework Agreement,2026-05-03,2026-08-18,2026-08-18,2026-10-04,,2026-08-25,Not Shipped,Air,Taiwan,United States,DFW-03,DB Schenker,Pending,FOB,Pending,2026-07-11,118,165.0,,47.0,0.907,0.591,0.416,critical,False,20,High,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-10-28,23.2,1.0,1
PO-1011,2025-03-18,SUP-024,Legrand,Racks,Seismic rack enclosure,Vertiv,VER-R-2738,88,13739.73,1209096.24,USD,Delivered,A. Whitfield,Capacity Reservation,2025-03-29,2025-05-18,2025-05-18,2025-05-17,2025-05-17,2025-05-29,Delivered,Truck,Mexico,United States,CBUS-02,DHL Industrial Projects,Cleared,FOB,Received,2026-07-12,61,60.0,60.0,-1.0,0.826,0.639,0.374,low,True,45,Low,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2025-05-17,9.9,0.224,0
PO-1012,2026-02-13,SUP-002,Dell,GPU Servers,4U 8-GPU air-cooled server,Supermicro,SUP-GS-2677,25,176773.63,4419340.75,USD,In Production,S. Park,Framework Agreement,2026-02-22,2026-05-30,2026-05-30,2026-07-31,,2027-02-06,Not Shipped,Truck,Taiwan,United States,SLC-08,DHL Industrial Projects,Pending,FOB,Pending,2026-07-14,106,168.0,,62.0,0.919,0.55,0.453,critical,False,7,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-07-29,22.4,0.259,0
PO-1013,2026-05-28,SUP-D01,WWT,Storage Systems,NVMe expansion shelf,Dell,DEL-SS-3454,4,181551.1,726204.4,USD,In Production,K. Osei,Capacity Reservation,2026-06-02,2026-08-03,2026-08-03,2026-08-03,,2027-01-27,Not Shipped,Air,Mexico,United States,PHX-04,DHL Industrial Projects,Pending,DAP,Pending,2026-07-15,67,67.0,,0.0,0.674,0.686,0.352,high,True,19,Medium,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-07-31,26.2,0.213,0
PO-1014,2025-10-26,SUP-013,Trane,Chillers,Water-cooled centrifugal chiller,York,YOR-C-4172,5,574434.17,2872170.85,USD,Delivered,J. Marsh,Spot PO,2025-11-09,2026-05-11,2026-05-11,2026-07-03,2026-07-03,2026-05-28,Delivered,Truck,Mexico,United States,ATL-01,DB Schenker,Cleared,EXW,Received,2026-07-11,197,250.0,250.0,53.0,0.799,0.585,0.464,critical,False,18,High,ATL-01,120,80000,Phase 2 expansion,2027-02-12,2026-10-14,2026-07-03,33.5,0.393,1
PO-1015,2026-05-09,SUP-005,NVIDIA Networking,InfiniBand Switches,NDR 400G cable set,NVIDIA Networking,NVI-IS-8634,64,48589.37,3109719.68,USD,In Production,K. Osei,Capacity Reservation,2026-05-18,2026-11-09,2026-11-09,2026-12-09,,2026-08-21,Not Shipped,Ocean,Israel,United States,RIC-05,DHL Industrial Projects,Pending,CIF,Pending,2026-07-14,184,214.0,,30.0,0.929,0.593,0.436,critical,False,11,High,RIC-05,90,60000,Phase 3 expansion,2026-12-14,2026-09-14,2027-01-24,22.1,1.0,1
PO-1016,2025-12-23,SUP-004,NVIDIA,NVIDIA GPU Systems,HGX B200 baseboard,NVIDIA,NVI-NGS-5132,6,459350.82,2756104.92,USD,In Production,L. Tran,Spot PO,2025-12-30,2026-05-20,2026-05-20,2026-10-18,,2026-06-10,Not Shipped,Truck,Taiwan,United States,CBUS-02,Expeditors,Pending,FOB,Pending,2026-07-12,148,299.0,,151.0,0.907,0.591,0.416,critical,False,12,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-10-16,23.2,1.0,1
PO-1017,2026-02-21,SUP-006,Arista,Network Equipment,800G data center switch,Cisco,CIS-NE-2674,32,66502.71,2128086.72,USD,Delivered,M. Delgado,Spot PO,2026-03-10,2026-05-09,2026-05-09,2026-06-02,2026-06-02,2026-10-16,Delivered,Air,Mexico,United States,CBUS-02,Expeditors,Cleared,FOB,Received,2026-07-13,77,101.0,101.0,24.0,0.873,0.55,0.493,high,True,18,Medium,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-06-02,14.1,0.19,0
PO-1018,2026-01-31,SUP-017,Boyd,Cooling Systems,Rear-door heat exchanger,Motivair,MOT-CS-6636,28,203937.95,5710262.6,USD,In Production,A. Whitfield,Spot PO,2026-02-14,2026-08-06,2026-08-06,2026-10-20,,2026-09-01,Not Shipped,Ocean,United States,United States,RIC-05,DHL Industrial Projects,Not required,EXW,Pending,2026-07-12,187,262.0,,75.0,0.924,0.55,0.492,high,True,16,Medium,RIC-05,90,60000,Phase 3 expansion,2026-12-14,2026-09-14,2026-11-05,29.5,0.33,1
PO-1019,2025-07-18,SUP-026,Cummins,Backup Generators,2.5MW gas genset,MTU,MTU-BG-5057,4,1929491.86,7717967.44,EUR,In Production,A. Whitfield,Master Supply Agreement,2025-08-06,2026-06-13,2026-06-13,2027-01-25,,2026-06-14,Not Shipped,Ocean,Germany,United States,CBUS-02,Kuehne+Nagel,Pending,DAP,Pending,2026-07-11,330,556.0,,226.0,0.879,0.55,0.462,critical,True,9,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2027-01-26,40.6,0.264,1
PO-1020,2026-03-25,SUP-013,Trane,Chillers,Water-cooled centrifugal chiller,York,YOR-C-4172,3,596541.98,1789625.94,USD,In Production,A. Whitfield,Master Supply Agreement,2026-04-06,2026-11-15,2026-11-15,2026-12-20,,2027-01-10,Not Shipped,Ocean,Mexico,United States,PHX-04,Flexport,Pending,FOB,Pending,2026-07-12,235,270.0,,35.0,0.799,0.585,0.464,critical,True,8,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2027-01-23,33.5,0.393,1
PO-1021,2025-12-09,SUP-004,NVIDIA,NVIDIA GPU Systems,GB200 NVL72 rack system,NVIDIA,NVI-NGS-7164,5,304047.84,1520239.2,USD,Delivered,J. Marsh,Capacity Reservation,2025-12-27,2026-05-22,2026-05-22,2026-06-28,2026-06-28,2026-09-16,Delivered,Air,Taiwan,United States,CBUS-02,DB Schenker,Cleared,DAP,Received,2026-07-12,164,201.0,201.0,37.0,0.907,0.591,0.416,critical,False,18,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-06-28,23.2,1.0,0
PO-1022,2025-11-27,SUP-002,Dell,GPU Servers,4U 8-GPU air-cooled server,Dell,DEL-GS-3478,51,250896.31,12795711.81,USD,Delivered,K. Osei,Master Supply Agreement,2025-12-16,2026-03-27,2026-03-27,2026-05-10,2026-05-10,2026-04-08,Delivered,Air,Mexico,United States,DFW-03,Flexport,Cleared,EXW,Received,2026-07-11,120,164.0,164.0,44.0,0.919,0.55,0.453,critical,True,7,High,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-05-10,22.4,0.259,1
PO-1023,2025-09-27,SUP-004,NVIDIA,NVIDIA GPU Systems,DGX B200 system,NVIDIA,NVI-NGS-2152,12,398215.23,4778582.76,USD,Delivered,S. Park,Framework Agreement,2025-10-07,2026-03-06,2026-03-06,2026-05-29,2026-05-29,2026-03-09,Delivered,Air,Taiwan,United States,SLC-08,DHL Industrial Projects,Cleared,DDP,Received,2026-07-14,160,244.0,244.0,84.0,0.907,0.591,0.416,critical,False,6,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-05-29,23.2,1.0,1
PO-1024,2025-09-12,SUP-005,NVIDIA Networking,InfiniBand Switches,Quantum-2 QM9700 switch,NVIDIA Networking,NVI-IS-6966,69,42132.89,2907169.41,USD,Delivered,A. Whitfield,Spot PO,2025-09-19,2026-02-21,2026-02-21,2026-04-22,2026-04-22,2026-08-29,Delivered,Air,Israel,United States,DFW-03,Expeditors,Cleared,FOB,Received,2026-07-13,162,222.0,222.0,60.0,0.929,0.593,0.436,critical,False,16,High,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-04-22,22.1,1.0,0
PO-1025,2025-12-16,SUP-019,Schneider Electric,UPS Systems,1.2MW modular UPS,Vertiv,VER-US-6447,9,112851.59,1015664.31,USD,Delivered,A. Whitfield,Capacity Reservation,2026-01-02,2026-05-25,2026-05-25,2026-05-24,2026-05-24,2026-05-19,Delivered,Truck,Mexico,United States,PHX-04,DHL Industrial Projects,Cleared,DDP,Received,2026-07-13,160,159.0,159.0,-1.0,0.774,0.683,0.358,high,True,20,Medium,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-05-24,34.9,0.378,1
PO-1026,2025-06-03,SUP-004,NVIDIA,NVIDIA GPU Systems,HGX B200 baseboard,NVIDIA,NVI-NGS-5132,7,426312.43,2984187.01,USD,Delivered,J. Marsh,Master Supply Agreement,2025-06-10,2025-12-03,2025-12-03,2026-03-22,2026-03-22,2026-02-16,Delivered,Truck,Taiwan,United States,PHX-04,Expeditors,Cleared,EXW,Received,2026-07-12,183,292.0,292.0,109.0,0.907,0.591,0.416,critical,False,13,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-03-22,23.2,1.0,1
PO-1027,2026-07-10,SUP-015,Vertiv,Cooling Systems,Rear-door heat exchanger,Vertiv,VER-CS-1031,13,158230.35,2056994.55,USD,Ordered,M. Delgado,Master Supply Agreement,2026-07-29,2026-12-19,2026-12-19,2026-12-22,,2027-01-29,Not Shipped,Air,Mexico,Singapore,SIN-07,Flexport,Pending,DAP,Pending,2026-07-12,162,165.0,,3.0,0.864,0.595,0.443,high,False,19,Medium,SIN-07,60,40000,Phase 2 expansion,2027-04-14,2026-11-13,2027-02-03,51.9,0.315,1
PO-1028,2025-09-16,SUP-016,Motivair,Cooling Systems,Liquid cooling CDU,Boyd,BOY-CS-8907,7,178649.09,1250543.63,USD,In Production,S. Park,Capacity Reservation,2025-10-04,2026-04-04,2026-04-04,2026-09-08,,2026-04-20,Not Shipped,Ocean,United States,United States,CBUS-02,Kuehne+Nagel,Not required,DAP,Pending,2026-07-14,200,357.0,,157.0,0.956,0.55,0.485,high,False,23,Medium,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-09-12,25.9,0.355,1
PO-1029,2026-04-05,SUP-D02,Insight Enterprises,Network Equipment,800G data center switch,Cisco,CIS-NE-2674,105,68648.99,7208143.95,USD,Shipped,J. Marsh,Framework Agreement,2026-04-24,2026-07-20,2026-07-20,2026-07-20,,2026-08-03,Customs,Ocean,Mexico,Ireland,DUB-06,Flexport,In clearance,DAP,Pending,2026-07-13,106,106.0,,0.0,0.703,0.675,0.352,high,True,19,Medium,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2026-07-20,22.0,0.21,0
PO-1030,2025-10-22,SUP-001,Supermicro,GPU Servers,4U 8-GPU air-cooled server,Dell,DEL-GS-3478,41,244161.88,10010637.08,USD,Delivered,J. Marsh,Master Supply Agreement,2025-10-28,2026-02-15,2026-02-15,2026-04-11,2026-04-11,2026-03-28,Delivered,Ocean,Mexico,United States,RIC-05,DHL Industrial Projects,Cleared,DAP,Received,2026-07-11,116,171.0,171.0,55.0,0.896,0.55,0.483,critical,True,6,High,RIC-05,90,60000,Phase 3 expansion,2026-12-14,2026-09-14,2026-04-11,17.9,0.236,1
PO-1031,2025-09-12,SUP-025,Caterpillar,Backup Generators,Day tank & controls package,MTU,MTU-BG-3246,3,1415323.11,4245969.33,EUR,In Production,J. Marsh,Framework Agreement,2025-09-27,2026-07-22,2026-07-22,2026-11-10,,2026-10-11,Not Shipped,Ocean,Germany,United States,PHX-04,DHL Industrial Projects,Pending,CIF,Pending,2026-07-14,313,424.0,,111.0,0.899,0.601,0.446,critical,True,5,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-11-16,39.0,0.349,1
PO-1032,2026-05-28,SUP-015,Vertiv,UPS Systems,Static UPS 750kVA,Vertiv,VER-US-3785,7,396683.26,2776782.82,USD,In Production,A. Whitfield,Spot PO,2026-06-06,2026-12-12,2026-12-12,2026-12-12,,2026-10-21,Not Shipped,Ocean,Mexico,United States,CBUS-02,Expeditors,Pending,FOB,Pending,2026-07-12,198,198.0,,0.0,0.864,0.595,0.443,high,True,25,Medium,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-12-12,51.9,0.248,1
PO-1033,2025-09-27,SUP-027,MTU,Backup Generators,3MW diesel genset,Caterpillar,CAT-BG-2038,1,1404901.44,1404901.44,USD,In Production,A. Whitfield,Capacity Reservation,2025-10-14,2026-07-22,2026-07-22,2026-11-19,,2026-11-03,Not Shipped,Truck,United States,United States,DFW-03,Kuehne+Nagel,Not required,EXW,Pending,2026-07-15,298,418.0,,120.0,0.925,0.55,0.45,critical,True,18,High,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-11-22,46.2,0.387,1
PO-1034,2026-01-10,SUP-019,Schneider Electric,UPS Systems,Static UPS 750kVA,Eaton,EAT-US-1451,9,145991.18,1313920.62,USD,Delivered,K. Osei,Spot PO,2026-01-20,2026-06-19,2026-06-19,2026-06-15,2026-06-15,2026-06-18,Delivered,Ocean,United States,United States,ATL-01,Flexport,Not required,DAP,Received,2026-07-15,160,156.0,156.0,-4.0,0.774,0.683,0.358,high,False,14,Medium,ATL-01,120,80000,Phase 2 expansion,2027-02-12,2026-10-14,2026-06-15,34.9,0.378,0
PO-1035,2026-02-07,SUP-001,Supermicro,GPU Servers,4U 8-GPU air-cooled server,Foxconn Industrial,FOX-GS-6957,59,253045.59,14929689.81,USD,In Production,J. Marsh,Capacity Reservation,2026-02-17,2026-05-23,2026-05-23,2026-08-04,,2026-06-20,Not Shipped,Air,Taiwan,United States,SLC-08,Flexport,Pending,DAP,Pending,2026-07-12,105,178.0,,73.0,0.896,0.55,0.483,critical,True,20,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-07-30,17.9,0.236,1
PO-1036,2025-09-26,SUP-004,NVIDIA,NVIDIA GPU Systems,GB200 NVL72 rack system,NVIDIA,NVI-NGS-7164,10,288476.21,2884762.1,USD,Delivered,L. Tran,Framework Agreement,2025-10-04,2026-02-23,2026-02-23,2026-04-02,2026-04-02,2026-04-13,Delivered,Air,Taiwan,United States,CBUS-02,Expeditors,Cleared,FOB,Received,2026-07-11,150,188.0,188.0,38.0,0.907,0.591,0.416,critical,False,11,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-04-02,23.2,1.0,0
PO-1037,2025-12-26,SUP-004,NVIDIA,NVIDIA GPU Systems,GB200 NVL72 rack system,NVIDIA,NVI-NGS-7164,10,302243.1,3022431.0,USD,In Production,L. Tran,Master Supply Agreement,2026-01-05,2026-05-30,2026-05-30,2026-08-02,,2027-01-12,Not Shipped,Air,Taiwan,United States,PHX-04,DHL Industrial Projects,Pending,DAP,Pending,2026-07-13,155,219.0,,64.0,0.907,0.591,0.416,critical,False,20,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-08-01,23.2,1.0,0
PO-1038,2025-06-29,SUP-006,Arista,Network Equipment,Top-of-rack switch,Cisco,CIS-NE-9652,75,38926.44,2919483.0,USD,Delivered,A. Whitfield,Master Supply Agreement,2025-07-08,2025-09-01,2025-09-01,2025-10-16,2025-10-16,2025-08-30,Delivered,Air,Mexico,United States,CBUS-02,Kuehne+Nagel,Cleared,DAP,Received,2026-07-12,64,109.0,109.0,45.0,0.873,0.55,0.493,high,True,20,Medium,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2025-10-16,14.1,0.19,1
PO-1039,2026-06-09,SUP-005,NVIDIA Networking,InfiniBand Switches,Quantum-X800 switch,NVIDIA Networking,NVI-IS-2889,38,55280.9,2100674.2,USD,In Production,K. Osei,Spot PO,2026-06-29,2026-10-29,2026-10-29,2026-11-13,,2026-12-25,Not Shipped,Air,Israel,Ireland,DUB-06,DB Schenker,Pending,FOB,Pending,2026-07-15,142,157.0,,15.0,0.929,0.593,0.436,critical,False,10,High,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2027-01-05,22.1,1.0,1
PO-1040,2026-01-03,SUP-004,NVIDIA,NVIDIA GPU Systems,GB200 NVL72 rack system,NVIDIA,NVI-NGS-7164,6,314029.68,1884178.08,USD,In Production,M. Delgado,Capacity Reservation,2026-01-11,2026-06-04,2026-06-04,2026-09-04,,2026-07-14,Not Shipped,Truck,Taiwan,United States,CBUS-02,DB Schenker,Pending,FOB,Pending,2026-07-12,152,244.0,,92.0,0.907,0.591,0.416,critical,False,13,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-08-31,23.2,1.0,1
