supplier_id,supplier_name,country,categories,capacity_utilization,on_time_delivery_rate,historical_delay_rate,quality_score
SUP-001,Supermicro,Taiwan,GPU Servers,0.896,0.55,0.483,0.832
SUP-002,Dell,Mexico,GPU Servers|Storage Systems,0.919,0.55,0.453,0.906
SUP-003,Foxconn Industrial,Taiwan,GPU Servers,0.864,0.567,0.437,0.835
SUP-004,NVIDIA,Taiwan,NVIDIA GPU Systems,0.907,0.591,0.416,0.858
SUP-005,NVIDIA Networking,Israel,InfiniBand Switches,0.929,0.593,0.436,0.887
SUP-006,Arista,United States,Network Equipment,0.873,0.55,0.493,0.869
SUP-007,Cisco,Mexico,Network Equipment,0.623,0.661,0.354,0.959
SUP-008,Juniper,United States,Network Equipment,0.634,0.711,0.321,0.883
SUP-009,ABB,South Korea,Transformers,0.92,0.55,0.453,0.855
SUP-010,Siemens Energy,Germany,Transformers,0.935,0.55,0.466,0.92
SUP-011,Hyundai Electric,South Korea,Transformers,0.91,0.55,0.49,0.939
SUP-012,Carrier,United States,Chillers,0.653,0.7,0.327,0.969
SUP-013,Trane,United States,Chillers,0.799,0.585,0.464,0.84
SUP-014,York,Mexico,Chillers,0.705,0.693,0.315,0.903
SUP-015,Vertiv,Mexico,Cooling Systems|UPS Systems|Power Distribution Units|Racks,0.864,0.595,0.443,0.917
SUP-016,Motivair,United States,Cooling Systems,0.956,0.55,0.485,0.921
SUP-017,Boyd,United States,Cooling Systems,0.924,0.55,0.492,0.981
SUP-018,Eaton,United States,UPS Systems,0.722,0.672,0.331,0.939
SUP-019,Schneider Electric,Mexico,UPS Systems|Power Distribution Units,0.774,0.683,0.358,0.868
SUP-020,Raritan,Taiwan,Power Distribution Units,0.696,0.688,0.314,0.898
SUP-021,Pure Storage,United States,Storage Systems,0.63,0.657,0.346,0.951
SUP-022,VAST Data,United States,Storage Systems,0.619,0.679,0.34,0.968
SUP-023,Rittal,Germany,Racks,0.604,0.712,0.316,0.97
SUP-024,Legrand,Mexico,Racks,0.826,0.639,0.374,0.891
SUP-025,Caterpillar,United States,Backup Generators,0.899,0.601,0.446,0.846
SUP-026,Cummins,United States,Backup Generators,0.879,0.55,0.462,0.902
SUP-027,MTU,Germany,Backup Generators,0.925,0.55,0.45,0.891
SUP-D01,WWT,United States,GPU Servers|Network Equipment|Storage Systems|Racks,0.674,0.686,0.352,0.947
SUP-D02,Insight Enterprises,United States,Network Equipment|Storage Systems|Power Distribution Units|Racks,0.703,0.675,0.352,0.858
SUP-D03,Graybar,United States,Power Distribution Units|UPS Systems,0.78,0.649,0.386,0.962
