equipment_category,equipment_type,manufacturer,part_number,unit_cost_usd,criticality,supply_constrained
GPU Servers,HGX H200 8-GPU server,Supermicro,SUP-GS-7428,235730.0,critical,True
GPU Servers,HGX H200 8-GPU server,Dell,DEL-GS-7457,194495.0,critical,True
GPU Servers,HGX H200 8-GPU server,Foxconn Industrial,FOX-GS-7560,188715.0,critical,True
GPU Servers,MGX GPU server,Supermicro,SUP-GS-2103,317853.0,critical,True
GPU Servers,MGX GPU server,Dell,DEL-GS-8219,202722.0,critical,True
GPU Servers,MGX GPU server,Foxconn Industrial,FOX-GS-6571,264102.0,critical,True
GPU Servers,4U 8-GPU air-cooled server,Supermicro,SUP-GS-2677,180033.0,critical,True
GPU Servers,4U 8-GPU air-cooled server,Dell,DEL-GS-3478,255127.0,critical,True
GPU Servers,4U 8-GPU air-cooled server,Foxconn Industrial,FOX-GS-6957,265923.0,critical,True
NVIDIA GPU Systems,DGX B200 system,NVIDIA,NVI-NGS-2152,428637.0,critical,True
NVIDIA GPU Systems,GB200 NVL72 rack system,NVIDIA,NVI-NGS-7164,305254.0,critical,True
NVIDIA GPU Systems,HGX B200 baseboard,NVIDIA,NVI-NGS-5132,442430.0,critical,True
InfiniBand Switches,Quantum-2 QM9700 switch,NVIDIA Networking,NVI-IS-6966,45544.0,critical,True
InfiniBand Switches,Quantum-X800 switch,NVIDIA Networking,NVI-IS-2889,59411.0,critical,True
InfiniBand Switches,NDR 400G cable set,NVIDIA Networking,NVI-IS-8634,45775.0,critical,True
Network Equipment,800G data center switch,Arista,ARI-NE-6109,23754.0,high,False
Network Equipment,800G data center switch,Cisco,CIS-NE-2674,68228.0,high,False
Network Equipment,800G data center switch,Juniper,JUN-NE-5337,50068.0,high,False
Network Equipment,DCI router,Arista,ARI-NE-3645,52594.0,high,False
Network Equipment,DCI router,Cisco,CIS-NE-4362,81716.0,high,False
Network Equipment,DCI router,Juniper,JUN-NE-9654,42237.0,high,False
Network Equipment,Top-of-rack switch,Arista,ARI-NE-9899,79248.0,high,False
Network Equipment,Top-of-rack switch,Cisco,CIS-NE-9652,37972.0,high,False
Network Equipment,Top-of-rack switch,Juniper,JUN-NE-2491,64645.0,high,False
Transformers,138kV power transformer,ABB,ABB-T-5278,1149836.0,critical,True
Transformers,138kV power transformer,Siemens Energy,SIE-T-3736,930190.0,critical,True
Transformers,138kV power transformer,Hyundai Electric,HYU-T-4650,1169000.0,critical,True
Transformers,34.5kV pad-mount transformer,ABB,ABB-T-9236,895048.0,critical,True
Transformers,34.5kV pad-mount transformer,Siemens Energy,SIE-T-4654,1277858.0,critical,True
Transformers,34.5kV pad-mount transformer,Hyundai Electric,HYU-T-4197,1538206.0,critical,True
Transformers,Substation transformer,ABB,ABB-T-7564,1448829.0,critical,True
Transformers,Substation transformer,Siemens Energy,SIE-T-4714,719889.0,critical,True
Transformers,Substation transformer,Hyundai Electric,HYU-T-9073,930009.0,critical,True
Chillers,Water-cooled centrifugal chiller,Carrier,CAR-C-1474,715426.0,critical,False
Chillers,Water-cooled centrifugal chiller,Trane,TRA-C-5577,487786.0,critical,False
Chillers,Water-cooled centrifugal chiller,York,YOR-C-4172,584710.0,critical,False
Chillers,Air-cooled screw chiller,Carrier,CAR-C-6640,476780.0,critical,False
Chillers,Air-cooled screw chiller,Trane,TRA-C-6726,700200.0,critical,False
Chillers,Air-cooled screw chiller,York,YOR-C-6974,315437.0,critical,False
Cooling Systems,Liquid cooling CDU,Vertiv,VER-CS-2673,93772.0,high,True
Cooling Systems,Liquid cooling CDU,Motivair,MOT-CS-4222,117614.0,high,True
Cooling Systems,Liquid cooling CDU,Boyd,BOY-CS-8907,179174.0,high,True
Cooling Systems,Rear-door heat exchanger,Vertiv,VER-CS-1031,148087.0,high,True
Cooling Systems,Rear-door heat exchanger,Motivair,MOT-CS-6636,216923.0,high,True
Cooling Systems,Rear-door heat exchanger,Boyd,BOY-CS-2389,224449.0,high,True
